genre,title,artist,lyrics
metal,Freak on a Leash,Korn,"Something takes a part of me Something lost and never seen Every time I start to believe Something's raped and taken from me, from me  Life's gotta always be messin' with me ( You wanna see the light ) Can't they chill and let me be free? ( So do I ) Can't I take away all this pain? ( You wanna see the light ) I try to every night, all in vain, in vain  Sometimes, I cannot take this place Sometimes, it's my life I can't taste Sometimes, I cannot feel my face You'll never see me fall from grace  Something takes a part of me You and I weren't meant to be A cheap fuck for me to lay Something takes a part of me  Feelin' like a freak on a leash ( You wanna see the light ) Feeling like I have no release ( So do I ) How many times have I felt diseased? ( You wanna see the light ) Nothing in my life is free, is free  Sometimes, I cannot take this place Sometimes, it's my life I can't taste Sometimes, I cannot feel my face You'll never see me fall from grace  Something takes a part of me You and I weren't meant to be A cheap fuck for me to lay Something takes a part of me  Boom-da-da-mmm-dum-na-ee-ma Da-boom-da-da-mmm-dum-na-ee-ma Da-boom-da-da-mmm-dum-na-ee-ma Da-boom-da-da-mmm-dum-na-ee-ma Da-boom-da-da-mmm-dum-na-ee-ma Da-boom-da-da-mmm-dum-na-ee-ma Da-boom-da-da-mmm-dum-na-ee-ma Da-boom-da-da-mmm-dum-na-ee-ma Da-boom-da-da-mmm-dum-na-ee-ma Da-boom-da-da-mmm-dum-na-ee-ma Da-boom-da-da-mmm-dum-na-ee-ma Da-boom-da-da-mmm-dum-na-ayy, go  So fight, something on the ming-a-ooh Fight, some things they fight So, something on the ming-a-ooh Fight, some things they fight Fight, something off the hee-a-hoo No, some things they fight Fight, something on the ming-a-hoo Fight, some things they fight  Something takes a part of me You and I weren't meant to be A cheap fuck for me to lay Something takes a part of me  Part of me Part of me Part of me"
metal,Mascara,Deftones,"I feel soon I will sink into you What do you think? 'Cause there's still blood in your hair Got the bruise of the year  But there's something about her long, shady eyes I'm all about her shade tonight  I hate your tattoos You have weak wrists But I'll keep you  'Cause there's something about her long, shady eyes I'm all about her shade tonight  Well, it's too bad It's too bad It's too bad You're married to me"
metal,Before I Forget,Slipknot,"Go  Stapled shut, inside an outside world, and I'm Sealed in tight, bizarre but right at home I'm claustrophobic, closing in And I'm catastrophic, not again I'm smeared across the page and doused in gasoline I wear you like a stain, yet I'm the one who's obscene Catch me up on all your sordid little insurrections I've got no time to lose, I'm just caught up in all the cattle  Fray the strings Throw the shapes Hold your breath Listen  I am a world before I am a man I was a creature before I could stand I will remember before I forget Before I forget that I am a world before I am a man I was a creature before I could stand I will remember before I forget Before I forget that  I'm ripped across the ditch And settled in the dirt and I Wear you like a stitch Yet I'm the one who's hurt Pay attention to your twisted little indiscretions I've got no right to win, I'm just caught up in all the battles  Locked in clutch Pushed in place Hold your breath Listen  I am a world before I am a man I was a creature before I could stand I will remember before I forget Before I forget that I am a world before I am a man I was a creature before I could stand I will remember before I forget Before I forget that  My end, it justifies my means All I ever do is delay My every attempt to evade The end of the road And my end, it justifies my means All I ever do is delay My every attempt to evade The end of the road  I am a world before I am a man I was a creature before I could stand I will remember before I forget Before I forget that I am a world before I am a man I was a creature before I could stand I will remember before I forget Before I forget that I am a world before I am a man I was a creature before I could stand I will remember before I forget Before I forget that  Yeah, yeah, yeah, yeah, yeah Yeah, yeah, oh  You're wasting it You're wasting it You're wasting it You're wasting it You're wasting it"
metal,Risk,Deftones,"You can't talk, I'm anxious I'm off the walls I'm right here just Come outside and see in But pack your heart, you might need it  I'll find a way I'm confused some But I think I can try I will save your life I will save your life I'll try for you  You're locked up, you exit You did it before and I seen it Come outside and breathe in Relax your arms and let me in  I'll find a way I'm confused some But I think I can try I will save your life I will save your life I'll try for you  I know what to say to take you Higher, higher No one else can take you higher But I will try  I'll find a way I'm confused some But I think I can try I will save your life I will save your life I'll try for you I'll find a way I'm confused some But I think I can try I will save your life I will save your life I'll try for you  For you For you"
metal,Wait and Bleed,Slipknot,"I've felt the hate rise up in me Kneel down and clear the stone of leaves I wander out where you can't see Inside my shell, I wait and bleed  I've felt the hate rise up in me Kneel down and clear the stone of leaves I wander out where you can't see Inside my shell, I wait and bleed  Goodbye I wipe it off on tile, the light is brighter this time Everything is 3D blasphemy My eyes are red and gold, the hair is standing straight up This is not the way I pictured me I can't control my shakes, how the hell did I get here? Something about this, so very wrong I have to laugh out loud, I wish I didn't like this Is it a dream or a memory?  I've felt the hate rise up in me Kneel down and clear the stone of leaves I wander out where you can't see Inside my shell, I wait and bleed  Get outta my head, 'cause I don't need this Why didn't I see this? But I'm a victim, Manchurian candidate I have sinned by just Makin' my mind up and takin' your breath away  I've felt the hate rise up in me Kneel down and clear the stone of leaves I wander out where you can't see Inside my shell, I wait and bleed I've felt the hate rise up in me Kneel down and clear the stone of leaves I wander out where you can't see Inside my shell, I wait and bleed  Goodbye You haven't learned a thing I haven't changed a thing The flesh was in my bones The pain was always free You haven't learned a thing I haven't changed a thing The flesh was in my bones The pain was always free  I've felt the hate rise up in me Kneel down and clear the stone of leaves I wander out where you can't see Inside my shell, I wait and bleed I've felt the hate rise up in me Kneel down and clear the stone of leaves I wander out where you can't see Inside my shell, I wait and bleed  And it waits for you"
metal,Custer,Slipknot,"I have this one De-da-dat, de-da-dat, de-da-dat-dat-dat De-da-dat, de-da-dat, de-da-dat-dat-dat Yeah Yeah Rise  Half-alive and stark-raving free and malignedFor encroaching on the purpose of this commercial-free interruption Due to the prolific nature of this statement Listener aggression is advised  It's strange, whenever I see a gun I think about just how petty you are And it blows my fucking mind Yeah, it blows my fucking mind These days, I never seem to get enough I'm tired of this shit, I wanna go home Don't waste my fucking time Don't waste my fucking time Because anything exceptional Gets crushed by common people With jealousy and ignorance And all their common evils This planet isn't special Collections made of clay I'm waiting for the punishment I know it's on my way  So cut, cut, cut me up And fuck, fuck, fuck me up Cut, cut, cut me up And fuck, fuck, fuck me up Cut, cut, cut me up And fuck, fuck, fuck me up Cut, cut, cut me up And fuck, fuck, fuck me up Cut, cut, cut me up And fuck, fuck, fuck me up Cut, cut, cut me up And fuck, fuck, fuck me up  Irreverence is my disease It's secondhand, but you know me The son of a bitch is on his knees The last man standing gets no pity  Somewhere on a toilet wall, I read the words ""You form a line to formalize the former lies"" And I finally saw the truth Something so profound, and it was sitting there Surrounded by the garbage and the stains Another victim of the refuse Now I've been saying this for years But you don't comprehend it I fight hell and I fight fear Because I understand it Androgyny and insults You try so hard to be difficult You wanna win the war? Know what you're fighting for  Cut, cut, cut me up And fuck, fuck, fuck me up Cut, cut, cut me up And fuck, fuck, fuck me up Cut, cut, cut me up And fuck, fuck, fuck me up Cut, cut, cut me up And fuck, fuck, fuck me up Cut (Cut), cut (Cut), cut me up And fuck (Fuck), fuck (Fuck), fuck me up Cut (Cut), cut (Cut), cut me up And fuck (Fuck), fuck (Fuck), fuck me up  Irreverence is my disease It's secondhand, but you know me The son of a bitch is on his knees The last man standing gets no pity With angel eyes and demon seeds You're missing what you really need When all is said and done, you see The last man standing gets no pity  (No pity) (No pity) (No pity) (No pity) (No pity)  Cut, cut, cut me up And fuck, fuck, fuck me up Cut, cut, cut me up And fuck, fuck, fuck me up Cut (Cut), cut (Cut), cut me up And fuck (Fuck), fuck (Fuck), fuck me up Cut (Cut), cut (Cut), cut me up And fuck (Fuck), fuck (Fuck), fuck me up Cut, cut, cut me up And fuck, fuck, fuck me up Cut, cut, cut me up And fuck, fuck, fuck me up"
metal,Sugar,System of a Down,"The kombucha mushroom people Sitting around all day Who can believe you? Who can believe you? Let your mother pray  Sugar Sugar  I'm not there all the time, you know Some people, some people, some people call it insane Yeah, they call it insane ( Sugar ) I play Russian roulette every day, a man's sport With a bullet called life Yeah, mama, called life ( Sugar ) Yeah, and every time I try to go Where I really want to be, it's already where I am 'Cause I'm already there  The kombucha mushroom people Sitting around all day Who can believe you? Who can believe you? Let your mother pray  Sugar  I got a gun the other day from Sako It's cute, it's small, fits right in my pocket Yeah, right in my pocket ( Sugar ) My girl, you know, she lashes out at me sometimes And I just fucking kick her And then, ooh, baby, she's okay ( Sugar ) People are always chasin' me down Tryin' to push my face to the ground Where all they do is suck out my motherfucking brains My brains ( Sugar! )  The kombucha mushroom people Sitting around all day Who can believe you? Who can believe you? Let your mother pray  I sit in my desolate room No lights, no music Just anger! (I've killed everyone) I'm away forever, but I'm feeling better How do I feel? What do I say? Fuck you, it all goes away How do I feel? What do I say? Fuck you, it all goes away How do I feel? What do I say? In the end, it all goes away How do I feel? What do I say? In the end, it all goes away How do I feel? What do I say? In the end, it all goes away How do I feel? What do I say? In the end, it all goes away How do I feel? What do I say? In the end, it all goes away How do I feel? What do I say? In the end, it all goes away In the end, it all goes away In the end, it all goes away In the end, it all goes away In the end, it all goes away"
metal,Bodies,Drowning Pool,"Let the bodies hit the floor Let the bodies hit the floor Let the bodies hit the floor Let the bodies hit the floor  Beaten, why for? (Why for?) Can't take much more (Here we go, here we go, here we go now)  One, nothing wrong with me Two, nothing wrong with me Three, nothing wrong with me Four, nothing wrong with me One, something's got to give Two, something's got to give Three, something's got to give Now  Let the bodies hit the floor Let the bodies hit the floor Let the bodies hit the floor Let the bodies hit the floor Let the bodies hit the floor Let the bodies hit the floor  Move  Push me again (Again) This is the end (Here we go, here we go, here we go now)  One, nothing wrong with me Two, nothing wrong with me Three, nothing wrong with me Four, nothing wrong with me One, something's got to give Two, something's got to give Three, something's got to give Now  Let the bodies hit the floor Let the bodies hit the floor Let the bodies hit the floor Let the bodies hit the floor Let the bodies hit the floor Let the bodies hit the floor  Skin against skin, blood and bone You're all by yourself, but you're not alone You wanted in and now you're here Driven by hate, consumed by fear  Let the bodies hit the floor Let the bodies hit the floor Let the bodies hit the floor Let the bodies hit the floor  One, nothing wrong with me Two, nothing wrong with me Three, nothing wrong with me Four, nothing wrong with me One, something's got to give Two, something's got to give Three, something's got to give Now  Let the bodies hit the floor Let the bodies hit the floor Let the bodies hit the floor Let the bodies hit the floor Let the bodies hit the floor Let the bodies hit the floor  Hey, go Hey, go Hey, go Hey, go"
metal,Dragula,Rob Zombie,"Superstition, fear, and jealousy  Dead I am the one Exterminatin' son Slippin' through the trees Stranglin' the breeze  Dead I am the sky Watchin' angels cry While they slowly turn Conquering the worm  Dig through the ditches and burn through the witches I slam in the back of my Dragula Dig through the ditches and burn through the witches I slam in the back of my Dragula  Dead I am the pool Spreading from the fool Weak and want you need Nowhere as you bleed  Dead I am the rat Feast upon the cat Tender is the fur Dying as you purr  Dig through the ditches and burn through the witches I slam in the back of my Dragula Dig through the ditches and burn through the witches I slam in the back of my Dragula  Oh, do it baby, do it baby Oh, do it baby, do it baby Burn like an animal  Dead I am the life Dig into the skin Knuckle, crack the bone Twenty-one to win  Dead I am the dog Hound of hell, you cry Devil on your back I can never die  Dig through the ditches and burn through the witches I slam in the back of my Dragula Dig through the ditches and burn through the witches I slam in the back of my Dragula  Oh, do it baby, do it baby Oh, do it baby, do it baby Burn like an animal  Dig through the ditches and burn through the witches I slam in the back of my Dragula Dig through the ditches and burn through the witches I slam in the back of my Dragula  Dig through the ditches and burn through the witches I slam in the back of my  Dragula"
metal,Borderline,Tame Impala,"Gone a little far Gone a little far this time with something How was I to know? How was I to know this high came rushing?  We're on the borderline Dangerously fine and unforgiving Possibly a sign I'm gonna have the strangest night on Sunday  Here I go Quite a show for a loner in L.A.​ I wonder how I managed to end up in this place Where I couldn't get away  We're on the borderline (Ooh) Caught between the tides of pain and rapture Then I saw the time Watched it speedin' by like a train Like a train  Will I be known and loved? Is there one that I trust? Starting to sober up Has it been long enough? Will I be known and loved? Little closer, close enough I'm a loser, loosen up Setting free, must be tough Will I be known and loved? Is there one that I trust? Starting to sober up Has it been long enough? Will I be so in love? Any closer? Close enough Shout out to what is done R.I.P., here comes the sun (Here comes the sun)  Gone a little far Gone a little far this time with something Rudi said it's fine They used to do this all the time in college (If you and I get comfortable)  And we're on the borderline (Ooh) Caught between the tides of pain and rapture Then I saw the time Watched it speedin' by like a train  Will I be known and loved? Is there one that I trust? Starting to sober up Has it been long enough? Will I be known and loved? Little closer, close enough I'm a loser, loosen up Setting free, must be tough Will I be known and loved? Is there one that I trust? Starting to sober up Has it been long enough? Will I be so in love? Any closer? Close enough Shout out to what is done R.I.P., here comes the sun (Here comes the sun)"
